Country,Average male height,Average female height,Sampled Ages
Albania,174.0 cm (5ft 8 1/2in),161.8 cm (5ft 3 1/2in),20-29
Argentina,-,159.6 cm (5ft 3in),19-49
Argentina,174.46 cm (5ft 8 1/2in),161.01 cm (5ft 3 1/2in),18
Armenia,-,158.1 cm (5ft 2in),25-49
Australia,175.6 cm (5ft 9in),161.8 cm (5ft 3 1/2in),18
Australia,177.8 cm (5ft 10in),163.8 cm (5ft 4 1/2in),18-24
Austria,179 cm (5ft 10 1/2in),166 cm (5ft 5 1/2in),20-49
Austria,180 cm (5ft 11in),167 cm (5ft 5 1/2in),20-24
Austria,178.80 cm (5ft 10 1/2in),-,30-34
Austria,179.2 cm (5ft 10 1/2in),167.6 cm (5ft 6in),21
Azerbaijan,171.8 cm (5ft 7 1/2in),165.4 cm (5ft 5in),16
Bahrain,165.1 cm (5ft 5in),154.2 cm (5ft 1/2in),19+
Bahrain,171.0 cm (5ft 7 1/2in),156.6 cm (5ft 1 1/2in),18
Bangladesh,-,150.6 cm (4ft 11 1/2in),25-49
Belgium,178.70 cm (5ft 10 1/2in),-,30-34
Belgium,178.6 cm (5ft 10 1/2in),168.1 cm (5ft 6in),21
Benin,-,159.3 cm (5ft 2 1/2in),25-49
Bolivia,-,151.8 cm (5ft 0in),25-49
Bolivia,160.0 cm (5ft 3in),142.2 cm (4ft 8in),20-29
Bosnia and Herzegovina,183.9 cm (6ft 1/2in),171.8 cm (5ft 7 1/2in),19-32
Brazil,170.7 cm (5ft 7in),158.8 cm (5ft 2 1/2in),18+
Brazil,173.0 cm (5ft 8in),161.1 cm (5ft 3 1/2in),20-24
Brazil-Urban,173.5 cm (5ft 8 1/2in),161.6 cm (5ft 3 1/2in),20-24
Brazil-Rural,170.9 cm (5ft 7 1/2in),158.9 cm (5ft 2 1/2in),20-24
Bulgaria,175.2 cm (5ft 9in),163.2 cm (5ft 4 1/2in),-
Bulgaria-Sofia,178.1 cm (5ft 10in),164.8 cm (5ft 5in),-
Burkina Faso,-,161.6 cm (5ft 3 1/2in),25-49
Cambodia,-,152.4 cm (5ft 0in),25-49
Cameroon-Urban,170.6 cm (5ft 7in),161.3 cm (5ft 3 1/2in),15+
